GISPROD3OSMPTrailsOSMPOBJECTID,GISPROD3OSMPTrailsOSMPOWNER,GISPROD3OSMPTrailsOSMPBICYCLES,GISPROD3OSMPTrailsOSMPTRAILTYPE,GISPROD3OSMPTrailsOSMPSEGMENTID,GISPROD3OSMPTrailsOSMPHORSES,GISPROD3OSMPTrailsOSMPTRLID,GISPROD3OSMPTrailsOSMPMILEAGE,GISPROD3OSMPTrailsOSMPMEASUREDFEET,GISPROD3OSMPTrailsOSMPTRAILNAME,GISPROD3OSMPTrailsOSMPGlobalID,GISPROD3OSMPTrailsOSMPDogs,GISPROD3OSMPTrailsOSMPDogRegGen,GISPROD3OSMPTrailsOSMPDogRegDesc,GISPROD3OSMPTrailClosuresOBJECTID,GISPROD3OSMPTrailClosuresCLOSUREDURATION,GISPROD3OSMPTrailClosuresWEBLINK,GISPROD3OSMPTrailClosuresCLOSUREAREA,GISPROD3OSMPTrailClosuresTRAILSTATUS,GISPROD3OSMPTrailClosuresCLOSUREREASON,GISPROD3OSMPTrailClosuresLOCATIONDESCRIPTION,GISPROD3OSMPTrailClosuresCONTACT,GISPROD3OSMPTrailClosuresCOMMENTS,GISPROD3OSMPTrailClosuresGLOBALID
785,OSMP,No,Hiking Trail,296-357-356,No,296,0.106,-9999,Boulder Falls,{D8A3CB76-3BA0-4389-B787-666532389C7A},,,,642,Until Further Notice,,,Open,Hazardous Conditions,,https://bouldercolorado.gov/osmp/temporary-closures,Closed for Lefthand Fire,{AC18FEFD-B50A-4EBB-82A9-049F67785A59}
1141,OSMP,No,Hiking Trail,229-368-370,Yes,229,0.046,-9999,South Mesa Connector,{955AF539-8EB1-4F0E-91D3-A0C73AD88EA1},,,,429,,,,Open,,,https://bouldercolorado.gov/osmp/temporary-closures,,{F540E657-C2BA-46B3-B9B0-95629C0D9CB1}
1063,OSMP,Yes,Multi-Use Trail,401-639-632,Yes,401,0.016,-9999,Foothills North,{CF250EF1-1244-4CC5-9C9B-6CB2BD8A7C26},,,,112,,,,Open,,,https://bouldercolorado.gov/osmp/temporary-closures,,{7C61DA69-975C-429C-8E1C-E2ADA228680E}
1066,OSMP,Yes,Multi-Use Trail,403-626-621,Yes,403,0.009,49,Foothills South,{0D2732B8-5BE2-4A1B-903F-966BD2A7B7E9},,,,115,,,,Open,,,https://bouldercolorado.gov/osmp/temporary-closures,,{F5FD2810-ED5D-4FDE-8731-A98889627B88}
706,OSMP,No,Hiking Trail,107-369-371,Yes,107,0.044,-9999,Doudy Draw Connector,{D2A1856B-1A9D-4C07-BAC0-AA9920751A7D},,,,205,,,,Open,,,https://bouldercolorado.gov/osmp/temporary-closures,,{27787155-7EE2-4406-9F01-110678A2A671}
1029,OSMP,Yes,Multi-Use Trail,401-630-631,Yes,401,0.011,54,Foothills North,{06F47855-E3A6-4CB3-A4C1-2C698FA7556F},,,,109,,,,Open,,,https://bouldercolorado.gov/osmp/temporary-closures,,{604F86DB-BBFB-40BD-A42C-4136C5C1BABE}
1075,OSMP,Yes,Multi-Use Trail,407-601-602,Yes,407,0.014,73,Wonderland Lake,{F25613C3-3E91-4DDB-8325-533325DC15E2},,,,124,,,,Open,,,https://bouldercolorado.gov/osmp/temporary-closures,,{979FE8EB-5E4F-4794-9E68-B9742D370EAE}
1076,OSMP,Yes,Multi-Use Trail,403-611-615,Yes,403,0.026,135,Foothills South,{DCBD1D7A-3314-47A5-80D4-35F0757D4606},,,,125,,,,Open,,,https://bouldercolorado.gov/osmp/temporary-closures,,{CAA8E6C6-7668-4F95-95AC-6940DA67B50E}
939,OSMP,Yes,Multi-Use Trail,408-652-675,Yes,408,2.779,14775,Left Hand,{4EAD7FF7-FB1A-4A8B-B01C-A49222434475},,,,78,Until Further Notice,,Left Hand,Open,Hazardous Conditions,,https://bouldercolorado.gov/osmp/temporary-closures,CalWood Fire closure,{0F78E029-C744-4AF0-9DD7-756A0F38F790}
940,OSMP,Yes,Multi-Use Trail,409-652-650,Yes,409,0.629,3340,Sage,{94CD2F92-FF16-4475-A6C4-7A99F4998E92},,,,79,Until Further Notice,,,Open,Hazardous Conditions,,https://bouldercolorado.gov/osmp/temporary-closures,CalWood Fire closure,{AEE7CBD3-BF85-4009-986B-B2DD1CA517A2}
941,OSMP,Yes,Multi-Use Trail,411-650-651,Yes,411,0.241,1246,North Rim,{990A84AE-2944-43B8-BB26-7C2DA9D72080},,,,80,Until Further Notice,,,Open,Hazardous Conditions,,https://bouldercolorado.gov/osmp/temporary-closures,CalWood Fire closure,{8A13DB82-008A-43B2-A86C-6A15C3EEE43A}
966,OSMP,Yes,Multi-Use Trail,410-647-673,Yes,410,0.546,2832,Eagle,{C397D2B5-D77E-42C6-9DFE-2FA0DC8C5698},,,,85,Until Further Notice,,,Open,Hazardous Conditions,,https://bouldercolorado.gov/osmp/temporary-closures,CalWood Fire closure,{59BC243B-EDA9-4679-A9FF-2203BDD4FFD6}
1021,OSMP,Yes,Multi-Use Trail,401-634-635,Yes,401,0.52,2777,Foothills North,{6EC81047-F625-4B05-ABDB-96141FE8F21F},,,,101,Until Further Notice,,,Open,Hazardous Conditions,,https://bouldercolorado.gov/osmp/temporary-closures,CalWood Fire closure,{A5463F40-A55E-4BCA-8D9E-466335D56BA9}
1022,OSMP,No,Hiking Trail,402-636-636,Yes,402,1.762,9722,Hogback Ridge,{9A13C107-1E52-4813-8921-DCC7FCEBC0F5},,,,102,Until Further Notice,,,Open,Hazardous Conditions,,https://bouldercolorado.gov/osmp/temporary-closures,CalWood Fire closure,{8E527AC9-5ECD-46BB-907E-9110C473FB4E}
962,OSMP,Yes,Multi-Use Trail,409-650-648,Yes,409,0.529,2829,Sage,{A1E090D3-0E6B-4FC4-B406-73EF82DF1B57},,,,81,Until Further Notice,,,Open,Hazardous Conditions,,https://bouldercolorado.gov/osmp/temporary-closures,CalWood Fire closure,{DE19AC7D-4844-4276-A1E0-1ED770FCF813}
963,OSMP,Yes,Multi-Use Trail,410-649-648,Yes,410,0.481,2556,Eagle,{DF3CFB9E-D426-40A9-95B8-B5C71B02735F},,,,82,Until Further Notice,,,Open,Hazardous Conditions,,https://bouldercolorado.gov/osmp/temporary-closures,CalWood Fire closure,{892D108F-C5AF-4B4F-92ED-2D420A074D92}
964,OSMP,Yes,Multi-Use Trail,410-648-673,Yes,410,0.94,5032,Eagle,{D419DAA1-7A8A-4C80-82EB-7E1C292D8443},,,,83,Until Further Notice,,,Open,Hazardous Conditions,,https://bouldercolorado.gov/osmp/temporary-closures,CalWood Fire closure,{B6568E63-0589-427C-9A9B-AED8E732AF29}
930,OSMP,Yes,Multi-Use Trail,420-657-658,Yes,420,1.953,10457,Joder Ranch,{72F0CA88-267C-4FAB-87F6-A617471B64B9},,,,69,Until Further Notice,,,Open,Hazardous Conditions,,https://bouldercolorado.gov/osmp/temporary-closures,CalWood Fire closure,{47E929EC-15AA-4D1D-B884-F0EFC45213DD}
931,OSMP,No,Hiking Trail,417-661-662,No,417,0.03,159,Buckingham Park,{2C1D2324-0322-45B8-803F-6F9FBA2BD615},,,,70,Until Further Notice,,,Open,Hazardous Conditions,,https://bouldercolorado.gov/osmp/temporary-closures,CalWood Fire closure,{3B30A001-2D0D-421C-8A85-04305DA64B00}
932,OSMP,No,Hiking Trail,417-662-663,No,417,0.039,208,Buckingham Park,{55BFFC19-2849-4486-B2A5-F73730D8BA44},,,,71,Until Further Notice,,,Open,Hazardous Conditions,,https://bouldercolorado.gov/osmp/temporary-closures,CalWood Fire closure,{9938E361-6DB1-462C-BC24-790C8502898F}
933,OSMP,No,Hiking Trail,417-663-664,No,417,0.047,251,Buckingham Park,{A3E520D4-C53A-4600-B8E8-73B63F14E381},,,,72,Until Further Notice,,,Open,Hazardous Conditions,,https://bouldercolorado.gov/osmp/temporary-closures,CalWood Fire closure,{3445FE09-EC55-46B1-B37E-5CD8B29712FA}
934,OSMP,No,Hiking Trail,417-664-665,No,417,0.01,52,Buckingham Park,{95EB57A8-6148-431B-A7C3-0A9A71D98BD5},,,,73,Until Further Notice,,,Open,Hazardous Conditions,,https://bouldercolorado.gov/osmp/temporary-closures,CalWood Fire closure,{EE5BB81B-4C41-42C3-99ED-6116574F35E1}
935,OSMP,No,Hiking Trail,417-666-665,No,417,0.004,19,Buckingham Park,{DC1471A2-C15D-4C81-AA90-30D9C24D8BF2},,,,74,Until Further Notice,,,Open,Hazardous Conditions,,https://bouldercolorado.gov/osmp/temporary-closures,CalWood Fire closure,{E70B2B9A-85AD-4C71-B261-721132670D75}
936,OSMP,No,Hiking Trail,417-665-663,No,417,0.022,109,Buckingham Park,{01495ED9-0594-49D3-B8B0-5D1396DF1484},,,,75,Until Further Notice,,,Open,Hazardous Conditions,,https://bouldercolorado.gov/osmp/temporary-closures,CalWood Fire closure,{AA0A206C-5769-486A-AF7E-74FC79EB999B}
937,OSMP,No,Hiking Trail,417-665-662,No,417,0.024,117,Buckingham Park,{9AA16BF9-0280-4077-9A40-149054117E5D},,,,76,Until Further Notice,,,Open,Hazardous Conditions,,https://bouldercolorado.gov/osmp/temporary-closures,CalWood Fire closure,{F05CC0F4-5CE3-4721-ABC1-1E40587C5479}
1023,OSMP,No,Hiking Trail,402-636-633,Yes,402,0.038,195,Hogback Ridge,{9B71C3F7-B604-4EC3-A827-23C1870B0F5D},,,,103,Until Further Notice,,,Open,Hazardous Conditions,,https://bouldercolorado.gov/osmp/temporary-closures,CalWood Fire closure,{A4B52054-F014-43ED-93D5-50163847F0F5}
1024,OSMP,Yes,Multi-Use Trail,401-637-638,Yes,401,0.097,521,Foothills North,{D8847189-D4A3-4FE8-93A0-98DA0353B6F5},,,,104,Until Further Notice,,,Open,Hazardous Conditions,,https://bouldercolorado.gov/osmp/temporary-closures,CalWood Fire closure,{C27B1867-1B7A-409D-BB36-F37736420B32}
1025,OSMP,Yes,Multi-Use Trail,401-637-634,Yes,401,0.013,53,Foothills North,{AE099602-1DD8-4239-8240-5AC25A58CE1E},,,,105,,,,Open,,,https://bouldercolorado.gov/osmp/temporary-closures,,{F9A76479-11F7-4985-92FF-E34538FCD5FA}
1067,OSMP,No,Hiking Trail,418-622-628,Yes,418,0.027,144,Foothills Spur,{C48EFBF4-800D-4CBB-AE3E-62548A7FC689},,,,116,,,,Open,,,https://bouldercolorado.gov/osmp/temporary-closures,,{A7971263-6BC3-433C-B983-C9D8251C9CC3}
1068,OSMP,No,Hiking Trail,404-618-619,Yes,404,0.491,2613,Old Kiln,{872C7371-D116-4268-A747-9AD7EDCA43E0},,,,117,,,,Open,,,https://bouldercolorado.gov/osmp/temporary-closures,,{3874B388-A6BF-44A2-87E8-CE203B9B1D13}
1069,OSMP,No,Hiking Trail,405-620-619,Yes,405,0.37,1984,Old Kiln Spur,{9A52399D-8632-42FA-AA92-4EFA71437E66},,,,118,,,,Open,,,https://bouldercolorado.gov/osmp/temporary-closures,,{C2CCBBC8-15BB-42D5-9B2C-F600872124DF}
1070,OSMP,No,Hiking Trail,404-619-617,Yes,404,0.311,1636,Old Kiln,{E17D525E-085C-408E-803F-D9E4004156FC},,,,119,,,,Open,,,https://bouldercolorado.gov/osmp/temporary-closures,,{FF56692E-AF62-47AE-912F-A7A60610E439}
1125,OSMP,No,Gliding Access,419-612-611,Yes,419,0.465,-9999,Wonderland Hill,{6307411C-BAAD-411B-911A-0D716A483F95},,,,138,,,,Open,,,https://bouldercolorado.gov/osmp/temporary-closures,,{BFCF1BA8-17CC-4874-B531-54FB20C35FD8}
1127,OSMP,No,Gliding Access,419-614-612,Yes,419,0.112,-9999,Wonderland Hill,{663A1208-BEF5-4453-9FD8-B2D869EC9DF2},,,,140,,,,Open,,,https://bouldercolorado.gov/osmp/temporary-closures,,{84D7FFD7-D6E3-40F7-81B2-E1BCFBEC81C7}
1126,OSMP,No,Gliding Access,419-613-612,Yes,419,0.172,-9999,Wonderland Hill,{04F0D232-B4E1-4FA3-A463-B6951E37B0ED},,,,139,,,,Open,,,https://bouldercolorado.gov/osmp/temporary-closures,,{18B32B8A-7E60-4D05-8CC7-2139BA730C9A}
1077,OSMP,Yes,Multi-Use Trail,403-609-611,Yes,403,0.103,559,Foothills South,{D3E865CD-590F-4D73-B939-755AE17B2E2C},,,,126,,,,Open,,,https://bouldercolorado.gov/osmp/temporary-closures,,{325F8030-B98E-4415-A6B4-F0C34E222F27}
1078,OSMP,Yes,Multi-Use Trail,407-608-609,Yes,407,0.257,1376,Wonderland Lake,{36677D59-C4EC-4A17-8DEC-6B177055CA5E},,,,127,,,,Open,,,https://bouldercolorado.gov/osmp/temporary-closures,,{B08F9C1A-C47D-4526-AEC8-7AB6B4DA7FBB}
1079,OSMP,Yes,Multi-Use Trail,407-602-603,Yes,407,0.071,380,Wonderland Lake,{B67CE486-83C8-4AC7-9B1E-35678671D0D5},,,,128,,,,Open,,,https://bouldercolorado.gov/osmp/temporary-closures,,{D7E7AB29-1163-4E25-A412-14BC071B9144}
1080,OSMP,Yes,Multi-Use Trail,407-600-601,Yes,407,0.238,1256,Wonderland Lake,{34B63CA1-7500-4DE9-8F07-7A6B5B4AF5E4},,,,129,,,,Open,,,https://bouldercolorado.gov/osmp/temporary-closures,,{1AD54DBF-DA7E-4213-AC30-6BB98FF3F549}
1081,OSMP,Yes,Multi-Use Trail,407-606-607,Yes,407,0.158,843,Wonderland Lake,{2BA67164-8150-4F44-8D00-EB728D151479},,,,130,,,,Open,,,https://bouldercolorado.gov/osmp/temporary-closures,,{705A87CF-169F-4FE6-B70A-9CA5C6CD914F}
1128,OSMP,No,Gliding Access,419-668-669,Yes,419,0.234,-9999,Wonderland Hill,{8C88C1EA-43AF-4038-B545-719242D86DF5},,,,141,,,,Open,,,https://bouldercolorado.gov/osmp/temporary-closures,,{FBC6DDA5-5361-427F-978C-86F9061BB403}
1082,OSMP,Yes,Multi-Use Trail,406-615-616,Yes,406,0.018,93,Foothills - Wonderland Lake spur,{B6B65DDC-CA6B-4999-990B-21259D86C19A},,,,131,,,,Open,,,https://bouldercolorado.gov/osmp/temporary-closures,,{A59426F5-2489-4965-A312-85870507D2C1}
1131,OSMP,Yes,Multi-Use Trail,506-552-553,Yes,506,1.167,6289,Cottontail,{F4D602B7-D662-44B0-81D5-543E86C0CFDB},,,,144,,,,Open,,,https://bouldercolorado.gov/osmp/temporary-closures,,{4780EA72-83EC-4D27-89EF-684535F16A8F}
1132,OSMP,Yes,Multi-Use Trail,502-555-554,Yes,502,1.699,9065,East Boulder - Gunbarrel,{25E357B6-4811-4B64-977B-14F26143B2B5},,,,145,,,,Open,,,https://bouldercolorado.gov/osmp/temporary-closures,,{E7FF4EC0-DADE-40C6-A57D-1DC3CE65529C}
670,OSMP,Yes,Multi-Use Trail,125-448-449,Yes,125,0.053,-9999,Marshall Lake Lookout,{3A2B52E8-648D-44FC-97A5-03A1C1B5329D},,,,234,Until Further Notice,,Marshall Mesa / Greenbelt Pleateau,Open,Muddy Trail,,https://bouldercolorado.gov/osmp/temporary-closures,Closed during muddy conditions to prevent damage to trails and surrounding areas ,{A7E986BD-CD3B-4CF6-85DD-70A914252004}
655,OSMP,Yes,Multi-Use Trail,102-437-439,Yes,102,0.164,837,Community Ditch,{9BEF4F3A-B90C-407B-A9D6-B1C04089AA74},,,,214,Until Further Notice,,Doudy Draw,Open,Muddy Trail,,https://bouldercolorado.gov/osmp/temporary-closures,Closed during muddy conditions to prevent damage to trails and surrounding areas ,{324B58D7-E5C8-46C2-BE86-2094208CF812}
656,OSMP,Yes,Multi-Use Trail,127-439-438,Yes,127,0.073,339,Community Ditch Hwy 93 Spur,{A692B0FD-E806-4BEA-B4DB-8E70896312F8},,,,215,Until Further Notice,,Doudy Draw,Open,Muddy Trail,,https://bouldercolorado.gov/osmp/temporary-closures,Closed during muddy conditions to prevent damage to trails and surrounding areas ,{DAF89E92-7767-4CDD-A385-BDBFA7919F8F}
657,OSMP,Yes,Multi-Use Trail,102-439-405,Yes,102,1.736,9141,Community Ditch,{C564702A-DAC1-41D4-ACE4-CEBBB8078672},,,,216,Until Further Notice,,Doudy Draw,Open,Muddy Trail,,https://bouldercolorado.gov/osmp/temporary-closures,Closed during muddy conditions to prevent damage to trails and surrounding areas ,{EFBF7AA6-0B00-40E2-B4BC-6DFA54954A1E}
671,OSMP,Yes,Multi-Use Trail,101-401-402,Yes,101,0.336,1752,Doudy Draw,{6A27E87D-20B8-4E7F-95A7-99C36F4AD54F},,,,235,Until Further Notice,,Doudy Draw,Open,Muddy Trail,,https://bouldercolorado.gov/osmp/temporary-closures,Closed during muddy conditions to prevent damage to trails and surrounding areas ,{9160BD55-F2DF-48F1-9DDF-495E5AA5A64B}
672,OSMP,Yes,Multi-Use Trail,101-402-403,Yes,101,0.023,129,Doudy Draw,{7CB2CCC7-DD7B-41AC-83D2-93DCF282A948},,,,236,Until Further Notice,,Doudy Draw,Open,Muddy Trail,,https://bouldercolorado.gov/osmp/temporary-closures,Closed during muddy conditions to prevent damage to trails and surrounding areas ,{2D3E7717-4C60-4A0B-9A5A-CCFCAC44D546}
673,OSMP,Yes,Multi-Use Trail,126-404-402,Yes,126,0.031,134,Doudy Draw Picnic Area,{5EB82050-4B80-43FE-BCB8-5F23E2739344},,,,237,Until Further Notice,,Doudy Draw,Open,Muddy Trail,,https://bouldercolorado.gov/osmp/temporary-closures,Closed during muddy conditions to prevent damage to trails and surrounding areas ,{9F4A5232-6A1E-42D4-B75C-22DEBBEFE027}
674,OSMP,Yes,Multi-Use Trail,101-403-405,Yes,101,0.086,419,Doudy Draw,{BCD5DE3F-C0BD-41E5-8115-4D513384A08B},,,,238,Until Further Notice,,Doudy Draw,Open,Muddy Trail,,https://bouldercolorado.gov/osmp/temporary-closures,Closed during muddy conditions to prevent damage to trails and surrounding areas ,{57224278-B5B7-41F7-9425-C61C4322C138}
675,OSMP,Yes,Multi-Use Trail,101-405-406,Yes,101,0.709,3756,Doudy Draw,{DD528668-F33C-4230-9F0D-79B4AACA1CF5},,,,239,Until Further Notice,,Doudy Draw,Open,Muddy Trail,,https://bouldercolorado.gov/osmp/temporary-closures,Closed during muddy conditions to prevent damage to trails and surrounding areas ,{79440FE3-8C73-42A4-9826-3EB7843D7A72}
676,OSMP,Yes,Multi-Use Trail,119-406-407,Yes,119,0.271,1416,Spring Brook Loop North,{BB4FF509-41A3-4503-9253-D13C48B5C7EB},,,,240,Until Further Notice,,Doudy Draw,Open,Muddy Trail,,https://bouldercolorado.gov/osmp/temporary-closures,Closed during muddy conditions to prevent damage to trails and surrounding areas ,{9CB9A685-350C-4E36-8BA8-C91DDDFEBCE1}
690,OSMP,Yes,Multi-Use Trail,119-407-408,Yes,119,1.133,6077,Spring Brook Loop North,{B159B0E0-A342-4816-B872-2090DD0F6959},,,,241,Until Further Notice,,Doudy Draw,Open,Muddy Trail,,https://bouldercolorado.gov/osmp/temporary-closures,Closed during muddy conditions to prevent damage to trails and surrounding areas ,{1476F751-9805-4A4C-BE28-B376014F0C1E}
832,OSMP,Yes,Multi-Use Trail,101-406-421,Yes,101,1.018,-9999,Doudy Draw,{103189AE-7A53-4A94-AE84-EDFC7E9D0C1A},,,,44,Until Further Notice,,Doudy Draw,Open,Muddy Trail,,https://bouldercolorado.gov/osmp/temporary-closures,Closed during muddy conditions to prevent damage to trails and surrounding areas ,{86677DF0-9796-44EF-8CD4-32F8C9D80B2E}
691,OSMP,Yes,Multi-Use Trail,120-408-407,Yes,120,1.112,5919,Spring Brook Loop South,{70F994D8-CC56-4E0A-AAE5-831A47FE6A9E},,,,242,Until Further Notice,,Doudy Draw,Open,Muddy Trail,,https://bouldercolorado.gov/osmp/temporary-closures,Closed during muddy conditions to prevent damage to trails and surrounding areas ,{379926E2-4FF8-4C7B-B31F-89D07CF0AB4C}
692,OSMP,Yes,Multi-Use Trail,119-409-408,Yes,119,0.044,201,Spring Brook Loop North,{4C44ED9C-7BBC-4281-B004-15E9A951419B},,,,643,Until Further Notice,,Doudy Draw,Open,Muddy Trail,,https://bouldercolorado.gov/osmp/temporary-closures,Closed during muddy conditions to prevent damage to trails and surrounding areas ,{98EFADE9-85A3-409F-8F6E-1D0E6703F92C}
693,OSMP,Yes,Multi-Use Trail,119-410-409,Yes,119,0.76,4033,Spring Brook Loop North,{3968A964-8125-46FF-80AA-F359E178AA08},,,,243,Until Further Notice,,Doudy Draw,Open,Muddy Trail,,https://bouldercolorado.gov/osmp/temporary-closures,Closed during muddy conditions to prevent damage to trails and surrounding areas ,{5FEFC58D-A711-4F05-8098-871E93E7EAE9}
694,OSMP,Yes,Multi-Use Trail,108-411-410,Yes,108,0.561,2945,Fowler,{646AF7D6-AE1C-4C42-8B4D-7EC82FC4994A},,,,244,Until Further Notice,,Doudy Draw,Open,Muddy Trail,,https://bouldercolorado.gov/osmp/temporary-closures,Closed during muddy conditions to prevent damage to trails and surrounding areas ,{5A10F49A-8D6F-44E7-AB06-5653D0233DEE}
695,OSMP,No,Hiking Trail,108-410-412,Yes,108,0.399,2143,Fowler,{E4868693-6DA6-4C4E-99E5-609B673B6F8F},,,,245,Until Further Notice,,Doudy Draw,Open,Muddy Trail,,https://bouldercolorado.gov/osmp/temporary-closures,Closed during muddy conditions to prevent damage to trails and surrounding areas ,{90B3842B-6CD4-4413-B4AB-342B82E202A1}
704,OSMP,No,Hiking Trail,124-412-413,No,124,0.081,-9999,Post Office Access,{2C46E9C7-D90B-4B74-B277-462A21D4A5D0},,,,261,Until Further Notice,,Doudy Draw,Open,Muddy Trail,,https://bouldercolorado.gov/osmp/temporary-closures,Closed during muddy conditions to prevent damage to trails and surrounding areas ,{F637C4C9-DF78-4305-A170-4DE0A4BCB800}
696,OSMP,No,Hiking Trail,108-454-415,No,108,0.172,1264,Fowler,{F9BA2C42-FF53-4D37-B5DF-22B5D3AD582B},,,,252,Until Further Notice,,Doudy Draw,Open,Muddy Trail,,https://bouldercolorado.gov/osmp/temporary-closures,Closed during muddy conditions to prevent damage to trails and surrounding areas ,{BAD25D02-D612-43EA-A3B8-13A2830B107D}
697,OSMP,No,Hiking Trail,108-415-416,No,108,0.043,236,Fowler,{FA92039C-B220-425C-9E68-9F1DD43F9A6C},,,,253,Until Further Notice,,Doudy Draw,Open,Muddy Trail,,https://bouldercolorado.gov/osmp/temporary-closures,Closed during muddy conditions to prevent damage to trails and surrounding areas ,{27274182-9BFA-4AE2-BF4A-8031F29F42C1}
769,OSMP,No,Climbing Access,123-417-418,Yes,123,0.168,749,Golden Nugget,{823E5692-4A0B-41AF-9A52-B91405739179},,,,637,Until Further Notice,,Doudy Draw,Open,Muddy Trail,,https://bouldercolorado.gov/osmp/temporary-closures,Closed during muddy conditions to prevent damage to trails and surrounding areas ,{B1C2547A-5E08-4C44-825F-AAA6A173596C}
698,OSMP,No,Hiking Trail,121-417-419,Yes,121,0.091,477,Goshawk Ridge,{DF54BD19-14C3-4822-BC24-97496CF58727},,,,255,Until Further Notice,,Doudy Draw,Open,Muddy Trail,,https://bouldercolorado.gov/osmp/temporary-closures,Closed during muddy conditions to prevent damage to trails and surrounding areas ,{D76B13C5-93E9-4F52-84F8-A1AB677FF109}
699,OSMP,No,Hiking Trail,121-419-409,Yes,121,1.243,6686,Goshawk Ridge,{8BA1CE4E-3901-4036-8FF5-2EE47D5F3EAB},,,,256,Until Further Notice,,Doudy Draw,Open,Muddy Trail,,https://bouldercolorado.gov/osmp/temporary-closures,Closed during muddy conditions to prevent damage to trails and surrounding areas ,{C34F0057-5876-410A-A636-07B12C7B5A97}
705,OSMP,No,Climbing Access,122-419-420,No,122,0.507,-9999,Mickey Mouse,{C0B675CB-B7ED-4BAD-8AA1-BCFE744B152C},,,,262,Until Further Notice,,Doudy Draw,Open,Muddy Trail,,https://bouldercolorado.gov/osmp/temporary-closures,Closed during muddy conditions to prevent damage to trails and surrounding areas ,{0D422969-66A6-4BCE-B5DC-0574151C015C}
786,OSMP,Yes,Multi-Use Trail,116-424-421,Yes,116,0.876,-9999,Flatirons Vista North,{83D4D264-B8F7-4F63-9275-B0BDEA1B69C5},,,,37,Until Further Notice,,Flatirons Vista,Open,Muddy Trail,,https://bouldercolorado.gov/osmp/temporary-closures,Closed during muddy conditions to prevent damage to trails and surrounding areas ,{38DBBF98-5D97-43A4-86A6-05A2F8B54173}
707,OSMP,Yes,Multi-Use Trail,118-421-422,Yes,118,1.386,7100,Flatirons Vista South,{866EB120-31DA-4DE0-93B4-91AC364AC5C9},,,,263,Until Further Notice,,Flatirons Vista,Open,Muddy Trail,,https://bouldercolorado.gov/osmp/temporary-closures,Closed during muddy conditions to prevent damage to trails and surrounding areas ,{B027F399-4B15-421A-97EF-A18553CF230C}
791,OSMP,Yes,Multi-Use Trail,118-422-423,Yes,118,0.772,-9999,Flatirons Vista South,{4DC5E822-CEB0-462F-99C2-33B63F362042},,,,42,Until Further Notice,,Flatirons Vista,Open,Muddy Trail,,https://bouldercolorado.gov/osmp/temporary-closures,Closed during muddy conditions to prevent damage to trails and surrounding areas ,{AF8AD120-0DE5-42A1-8941-78F6FA4B7963}
833,OSMP,Yes,Multi-Use Trail,117-423-422,Yes,117,0.912,-9999,Prairie Vista,{B7DE59F9-707B-4DA1-AD77-41416B169D59},,,,45,Until Further Notice,,Flatirons Vista,Open,Muddy Trail,,https://bouldercolorado.gov/osmp/temporary-closures,Closed during muddy conditions to prevent damage to trails and surrounding areas ,{07B10E59-064B-4F31-9E34-3B33F254373C}
831,OSMP,Yes,Multi-Use Trail,118-423-424,Yes,118,0.027,-9999,Flatirons Vista South,{1C7B54BF-3E69-427D-AF55-1CB6C84D314E},,,,43,Until Further Notice,,Flatirons Vista,Open,Muddy Trail,,https://bouldercolorado.gov/osmp/temporary-closures,Closed during muddy conditions to prevent damage to trails and surrounding areas ,{9C8C33F9-8362-4169-9897-39A2183C5BCD}
787,OSMP,Yes,Multi-Use Trail,116-430-428,Yes,116,0.019,-9999,Flatirons Vista North,{F53D9911-7068-4922-8373-6D65332C96C3},,,,38,Until Further Notice,,Flatirons Vista,Open,Muddy Trail,,https://bouldercolorado.gov/osmp/temporary-closures,Closed during muddy conditions to prevent damage to trails and surrounding areas ,{262107F8-1718-494D-93C7-9E3C44353190}
789,OSMP,Yes,Multi-Use Trail,117-429-428,Yes,117,0.004,-9999,Prairie Vista,{B2ABA352-A51C-4DDC-B2E5-CE71DDF872B3},,,,40,,,,Open,,,https://bouldercolorado.gov/osmp/temporary-closures,,{E60DBDA4-2448-4086-8177-DBA13A9E7580}
658,OSMP,Yes,Multi-Use Trail,115-432-431,Yes,115,0.311,1577,Greenbelt Connector,{102D530C-851C-41B1-BCB8-262525482BD9},,,,217,Until Further Notice,,Flatirons Vista,Open,Muddy Trail,,https://bouldercolorado.gov/osmp/temporary-closures,Closed during muddy conditions to prevent damage to trails and surrounding areas ,{A6CA250F-55E2-42DE-8F9D-4C631C2661A8}
659,OSMP,Yes,Multi-Use Trail,115-431-426,Yes,115,0.042,202,Greenbelt Connector,{3BD0074A-8E66-455E-8806-6EB1F3293875},,,,218,Until Further Notice,,Flatirons Vista,Open,Muddy Trail,,https://bouldercolorado.gov/osmp/temporary-closures,Closed during muddy conditions to prevent damage to trails and surrounding areas ,{7A984C6A-C93B-4794-B432-8F2AA118C3FB}
660,OSMP,Yes,Multi-Use Trail,116-427-426,Yes,116,0.063,332,Flatirons Vista North,{F5603670-3A10-4555-98AD-3F06932BA0B5},,,,219,Until Further Notice,,Flatirons Vista,Open,Muddy Trail,,https://bouldercolorado.gov/osmp/temporary-closures,Closed during muddy conditions to prevent damage to trails and surrounding areas ,{240EF598-96AE-479A-8D46-59C24782EBA7}
