GISPROD3OSMPTrailsOSMPOBJECTID,GISPROD3OSMPTrailsOSMPOWNER,GISPROD3OSMPTrailsOSMPBICYCLES,GISPROD3OSMPTrailsOSMPTRAILTYPE,GISPROD3OSMPTrailsOSMPSEGMENTID,GISPROD3OSMPTrailsOSMPHORSES,GISPROD3OSMPTrailsOSMPTRLID,GISPROD3OSMPTrailsOSMPMILEAGE,GISPROD3OSMPTrailsOSMPMEASUREDFEET,GISPROD3OSMPTrailsOSMPTRAILNAME,GISPROD3OSMPTrailsOSMPGlobalID,GISPROD3OSMPTrailsOSMPDogs,GISPROD3OSMPTrailsOSMPDogRegGen,GISPROD3OSMPTrailsOSMPDogRegDesc,GISPROD3OSMPTrailClosuresOBJECTID,GISPROD3OSMPTrailClosuresCLOSUREDURATION,GISPROD3OSMPTrailClosuresWEBLINK,GISPROD3OSMPTrailClosuresCLOSUREAREA,GISPROD3OSMPTrailClosuresTRAILSTATUS,GISPROD3OSMPTrailClosuresCLOSUREREASON,GISPROD3OSMPTrailClosuresLOCATIONDESCRIPTION,GISPROD3OSMPTrailClosuresCONTACT,GISPROD3OSMPTrailClosuresCOMMENTS,GISPROD3OSMPTrailClosuresGLOBALID
1262,OSMP,No,Hiking Trail,201-063-062,Yes,201,0.253,1303,Mesa,{8AE9953D-B708-4156-8E20-D04C201572F2},,,,461,,,,Open,,,https://bouldercolorado.gov/osmp/temporary-closures,,{6EC900D1-AB7C-4B4B-AC19-C1A14C472C58}
1263,OSMP,No,Hiking Trail,201-126-063,Yes,201,0.204,1091,Mesa,{61B52C55-5E24-4D3B-B48B-B893EE5ED35B},,,,462,,,,Open,,,https://bouldercolorado.gov/osmp/temporary-closures,,{569C1772-D4A4-49C6-A400-0631E43DE8B8}
1264,OSMP,No,Hiking Trail,201-127-128,Yes,201,0.149,782,Mesa,{3513CD38-8EAC-4CDD-9347-94BCB1C7EC14},,,,463,,,,Open,,,https://bouldercolorado.gov/osmp/temporary-closures,,{46A33282-9A8C-48F1-AFC8-6AD4585A59AC}
1144,OSMP,No,Hiking Trail,206-158-161,Yes,206,0.636,3504,Shadow Canyon North,{ED3273C7-A5C7-41D4-B898-567176978139},,,,432,,,,Open,,,https://bouldercolorado.gov/osmp/temporary-closures,,{3E07F186-8F78-48C7-9DDA-0667F312D779}
1265,OSMP,No,Hiking Trail,244-128-130,Yes,244,0.136,763,Wood's Quarry,{E5DE14AD-8E19-40D4-97D0-61FA4124F02F},,,,464,,,,Open,,,https://bouldercolorado.gov/osmp/temporary-closures,,{5C93F6EA-175D-43A3-8F85-52C1DC317328}
1266,OSMP,No,Hiking Trail,244-131-130,Yes,244,0.011,41,Wood's Quarry,{47D74344-7E92-4E61-B494-FC9509D823D3},,,,465,,,,Open,,,https://bouldercolorado.gov/osmp/temporary-closures,,{C0E76EDA-1ADC-4AEF-9D7F-9EA8A3DABA8F}
1149,OSMP,No,Climbing Access,340-235-119,No,340,0.154,-9999,Seal Rock,{F7159EF2-621A-4640-9752-3877D2534326},,,,436,,,,Open,,,https://bouldercolorado.gov/osmp/temporary-closures,,{471E15B0-0518-43E0-B324-4DA673843CAE}
1146,OSMP,No,Climbing Access,342-236-235,No,342,0.025,-9999,Harmon Cave,{5901EE00-A5CB-4F9B-8123-35E7338663DD},,,,7,Feb 1 to July 31 for Raptors,,,Open,Seasonal Wildlife Closure,,https://bouldercolorado.gov/osmp/temporary-closures,Climbing Access Trail in Seasonal Wildlefe Closure Area,{6D6AE4DC-4E8C-484B-8E26-FD15FA895AF0}
1147,OSMP,No,Climbing Access,340-233-235,No,340,0.05,-9999,Seal Rock,{7C9871A0-3497-4CC3-B3AB-A4E959A58789},,,,434,,,,Open,,,https://bouldercolorado.gov/osmp/temporary-closures,,{6C416C07-4B6A-4E63-B795-44D4F99003C8}
1148,OSMP,No,Climbing Access,340-234-233,No,340,0.022,-9999,Seal Rock,{51BDEB42-D4D1-4248-9E48-8EEEA58734F5},,,,435,,,,Open,,,https://bouldercolorado.gov/osmp/temporary-closures,,{49AB21A6-3BEE-4EFB-B978-7720C5E706B4}
